,ID,Nome,Sexo,Idade,Altura,Peso,Team,NOC,Jogos,Ano,Estação,City,Esporte,Event,Medalha
71250,36289,"Miraildes ""Formiga"" Maciel Mota",F,38.0,162.0,53.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
72042,36651,Francielle Manoel Alberto,F,22.0,161.0,61.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
72043,36652,Francielle Aparecida do Nascimento,F,20.0,187.0,62.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
72044,36652,Francielle Aparecida do Nascimento,F,24.0,187.0,62.0,Brazil,BRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
74395,37781,"Gabriela ""Gabi"" Braga Guimares",F,22.0,176.0,59.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
75753,38457,Fernanda Garay Rodrigues,F,30.0,181.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
83717,42557,Graziane de Jesus Coelho,F,25.0,191.0,104.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,
83720,42559,Grazielle Pinheiro Guimares Nascimento,F,31.0,162.0,54.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
93604,47390,Helen Cristina Santos Luz,F,19.0,175.0,61.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,
93606,47390,Helen Cristina Santos Luz,F,31.0,175.0,61.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
96063,48638,Hilma Aparecida Caldeira,F,20.0,182.0,74.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,
98868,50041,Hortncia Maria de Ftima Marcari Oliva,F,32.0,174.0,60.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,
100743,50943,Fabiane Mayumi Hukuda,F,23.0,156.0,52.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Lightweight,
102023,51607,Ana Ida Margarita  Alvarez Vieira,F,19.0,177.0,60.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
102024,51607,Ana Ida Margarita  Alvarez Vieira,F,27.0,177.0,60.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Volleyball,Volleyball Women's Volleyball,
103578,52406,Maria Isabel Barroso Alencar Salgado,F,19.0,180.0,67.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
103579,52406,Maria Isabel Barroso Alencar Salgado,F,23.0,180.0,67.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
103580,52407,Isabela Ramona Lyra Macedo,F,22.0,179.0,76.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
103785,52512,Vnia Yukie Ishii,F,27.0,167.0,63.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Half-Middleweight,
103786,52512,Vnia Yukie Ishii,F,30.0,167.0,63.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Half-Middleweight,
