,ID,Nome,Sexo,Idade,Altura,Peso,Team,NOC,Jogos,Ano,Estação,City,Esporte,Event,Medalha
192979,96895,"Delma ""Pretinha"" Gonalves",F,25.0,157.0,53.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
195717,98262,Rafaelle Leone Carvalho de Souza,F,25.0,175.0,57.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
196599,98696,Ana Cludia Ramos,F,26.0,179.0,66.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,
197082,98939,Raquel de Souza Noronha,F,22.0,161.0,59.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
197084,98941,Raquel Fernandes dos Santos,F,25.0,160.0,56.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
198983,99941,Renata Trevisan Martins Ribeiro,F,26.0,177.0,64.0,Brazil-1,BRA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
200026,100461,Ana Maria Richa Medeiros,F,17.0,175.0,60.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
200027,100461,Ana Maria Richa Medeiros,F,21.0,175.0,60.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,
202448,101686,Joice Rodrigues de Souza,F,25.0,176.0,65.0,Brazil,BRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
202449,101686,Joice Rodrigues de Souza,F,29.0,176.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
202857,101901,Helosa Helena Santos Roese,F,27.0,180.0,64.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
204193,102520,Rosana dos Santos Augusto,F,18.0,173.0,64.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
204196,102520,Rosana dos Santos Augusto,F,30.0,173.0,64.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
204296,102572,Roseli de Belo,F,26.0,156.0,56.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
204297,102572,Roseli de Belo,F,31.0,156.0,56.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
209875,105384,Sandra Maria Suruagy Lima,F,21.0,178.0,63.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
209876,105384,Sandra Maria Suruagy Lima,F,25.0,178.0,63.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,
209880,105385,Sandra Tavares Pires Nascimento,F,31.0,174.0,64.0,Brazil-2,BRA,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
210393,105635,Kerly Cristiane Paiva dos Santos,F,18.0,189.0,88.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,
210982,105947,"Welissa ""Sass"" de Souza Gonzaga",F,21.0,179.0,76.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,
217961,109482,Sheilla Tavares de Castro Blassioli,F,33.0,185.0,65.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
219994,110510,Fernanda Emerick Silva,F,21.0,180.0,73.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
219995,110510,Fernanda Emerick Silva,F,25.0,180.0,73.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
220010,110521,"Jacqueline Louise ""Jackie"" da Cruz Silva",F,18.0,170.0,61.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
220011,110521,"Jacqueline Louise ""Jackie"" da Cruz Silva",F,22.0,170.0,61.0,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Volleyball,Volleyball Women's Volleyball,
220034,110533,Lia Henrique da Silva Nicolosi,F,31.0,169.0,30.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
220044,110539,Mariana dos Santos Silva,F,22.0,173.0,63.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Women's Half-Middleweight,
220045,110539,Mariana dos Santos Silva,F,26.0,173.0,63.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,
220064,110549,Rafaela Lopes Silva,F,20.0,169.0,57.0,Brazil,BRA,2012 Summer,2012,Summer,London,Judo,Judo Women's Lightweight,
220138,110591,"Slvia Cristina ""Slvinha"" Gustavo Rocha Valente",F,22.0,182.0,77.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
220139,110591,"Slvia Cristina ""Slvinha"" Gustavo Rocha Valente",F,30.0,182.0,77.0,Brazil,BRA,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,
220636,110816,Simone Gomes Jatob,F,19.0,172.0,66.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
221702,111422,"Sisleide ""Sissi"" Lima do Amor",F,29.0,167.0,55.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
221703,111422,"Sisleide ""Sissi"" Lima do Amor",F,33.0,167.0,55.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
224289,112664,Marta de Souza Sobral,F,28.0,190.0,74.0,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,
225256,113171,Snia Maria Roque da Costa,F,27.0,160.0,56.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
230108,115514,Simone Storm,F,19.0,176.0,62.0,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Volleyball,Volleyball Women's Volleyball,
232836,116794,Suzana Ferreira da Silva,F,26.0,153.0,49.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
232938,116845,Suzy Bittencourt de Oliveira,F,29.0,169.0,63.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
234829,117765,Mrcia Taffarel,F,28.0,174.0,64.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
235574,118118,Talita Antunes da Rocha,F,25.0,181.0,64.0,Brazil-1,BRA,2008 Summer,2008,Summer,Beijing,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
235575,118118,Talita Antunes da Rocha,F,29.0,181.0,64.0,Brazil-2,BRA,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
235576,118118,Talita Antunes da Rocha,F,33.0,181.0,64.0,Brazil-2,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,
235771,118214,Tamara Cssia Dias Gomes,F,28.0,161.0,54.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
236255,118455,"Tnia Maria ""Tnia Maranho"" Pereira Ribeiro",F,21.0,166.0,55.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Football,Football Women's Football,
236256,118455,"Tnia Maria ""Tnia Maranho"" Pereira Ribeiro",F,25.0,166.0,55.0,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,
237381,119053,Rita de Cssia Teixeira,F,20.0,181.0,63.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
238254,119465,Thas Duarte Guedes,F,19.0,164.0,60.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,
238257,119466,Thasa Daher de Menezes,F,29.0,196.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,
238258,119467,Thaisa de Moraes Rosa Morenio,F,27.0,166.0,58.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
247632,123985,"Valeska ""Valeskinha"" dos Santos Menezes",F,28.0,180.0,62.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,
252737,126553,Regina dos Santos Vilela,F,22.0,171.0,64.0,Brazil,BRA,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,
253188,126786,Virna Cristine Dantes Dias,F,32.0,185.0,72.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,
253481,126929,Vivian Cristina Lopes,F,28.0,173.0,73.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,
255808,128070,Walewska Moreira de Oliveira,F,25.0,190.0,73.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,
267755,133947,Danielle Zangrando,F,16.0,162.0,57.0,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Judo,Judo Women's Lightweight,
267756,133947,Danielle Zangrando,F,25.0,162.0,57.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Lightweight,
